289,1978-12-03,Milchwirtschaftsbeschluss,NaN,NaN,Nan
290,1978-12-03,Tierschutzgesetz ,NaN,NaN,Nan
291,1978-12-03,Sicherheitspolizeigesetz,NaN,NaN,Nan
292,1978-12-03,Berufsbildungsgesetz,NaN,NaN,Nan
293,1979-02-18,Stimm- und Wahlrecht für 18-Jährige,NaN,NaN,Nan
294,1979-02-18,Bundesbeschluss über die Fuss- und Wanderwege,NaN,NaN,Nan
295,1979-02-18,Initiative «gegen Suchtmittelreklame»,NaN,NaN,Nan
296,1979-02-18,Atominitiative,NaN,NaN,Nan
297,1979-05-20,Neuordnung der Umsatzsteuer und der direkten Bundessteuer,NaN,NaN,Nan
298,1979-05-20,Atomgesetz,NaN,NaN,Nan
299,1980-03-02,Initiative zur «vollständigen Trennung von Kirche und Staat»,NaN,NaN,Nan
300,1980-03-02,Neuordnung der Landesversorgung,NaN,NaN,Nan
301,1980-11-30,Gurten- und Schutzhelmobligatorium,NaN,NaN,Nan
302,1980-11-30,Aufhebung des Kantonsanteils an den Stempelabgaben,NaN,NaN,Nan
303,1980-11-30,Abbau des Kantonsanteils an den Alkoholeinnahmen ,NaN,NaN,Nan
304,1980-11-30,Revision der Brotgetreideordnung,NaN,NaN,Nan
305,1981-04-05,Initiative «für eine neue Ausländerpolitik»,NaN,NaN,Nan
306,1981-06-14,Artikel zur Gleichstellung von Mann und Frau,NaN,NaN,Nan
307.0,1981-06-14,zur Absicherung der Rechte der Konsumenten,65.5,-1,3
308,1981-11-29,Weiterführung der Finanzordnung,NaN,NaN,Nan
309.0,1982-06-06,Strafgesetz (Gewaltverbrechen),63.7,1,1
310,1982-06-06,Ausländergesetz,NaN,NaN,Nan
311.1,1982-11-28,Verhinderung missbräuchlicher Preise,57.9,-1,1
311.2,1982-11-28,Verhinderung missbräuchlicher Preise (Gegenentwurf),24.8,1,2
312,1983-02-27,Neuregelung der Treibstoffzölle,NaN,NaN,Nan
313,1983-02-27,Energieartikel,NaN,NaN,Nan
314,1983-12-04,Reform der Bürgerrechtsregelung in der Bundesverfassung,NaN,NaN,Nan
315,1983-12-04,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,NaN,NaN,Nan
316.0,1984-02-26,Schwerverkehrsabgabe,58.7,-1,3
317,1984-02-26,Einführung der Autobahnvignette,NaN,NaN,Nan
318.0,1984-02-26,Zivildienst auf der Grundlage des Tatbeweises,36.2,-1,-1
319.0,1984-05-20,Banken-Initiative,27,-1,1
320,1984-05-20,Initiative «Gegen den Ausverkauf der Heimat»,NaN,NaN,Nan
321.0,1984-09-23,Zukunft ohne weitere Atomkraftwerke,45,-1,1
322.0,1984-09-23,"sichere, sparsame und umweltgerechte Energieversorgung",45.8,-1,1
323.0,1984-12-02,Mutterschaftsversicherung,15.8,-1,1
324,1984-12-02,Radio- und Fernsehartikel,NaN,NaN,Nan
325,1984-12-02,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,NaN,NaN,Nan
326,1985-03-10,Aufhebung der Bundesbeiträge für den Primarschulunterricht,NaN,NaN,Nan
327,1985-03-10,Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen,NaN,NaN,Nan
328.0,1985-03-10,Neuregelung der Ausbildungsbeiträge,47.6,1,-3
329.0,1985-03-10,Verlängerung der bezahlten Ferien,34.8,-2,1
330,1985-06-09,Initiative «Recht auf Leben»,NaN,NaN,Nan
331,1985-06-09,Aufhebung des Kantonsanteils an den Stempelabgaben,NaN,NaN,Nan
332,1985-06-09,Neuverteilung der Erträge aus der Alkoholabgabe,NaN,NaN,Nan
